Dear	c
Sir	c
or	c
Madam	c
,	c

I	c
am	c
writing	c
in	c
order	c
to	c
express	c
my	c
disappointment	c
about	i
your	c
musical	c
show	c
\"	c
Over	c
the	c
Rainbow	c
\"	c
.	c

I	c
saws	i
the	c
show	c
's	c
advertisement	c
hanging	c
up	c
of	i
a	c
wall	c
in	c
London	c
where	c
I	c
was	c
spending	c
my	c
holiday	c
with	c
some	c
friends	c
.	c
I	c
convinced	c
them	c
to	c
go	c
there	c
with	c
me	c
because	c
I	c
had	c
heard	c
good	c
references	i
about	i
your	c
Company	c
and	c
,	c
above	c
all	c
,	c
about	i
the	c
main	c
star	c
,	c
Danny	c
Brook	c
.	c

The	c
problems	c
started	c
in	i
the	c
box	c
office	c
,	c
where	c
we	c
asked	c
for	c
the	c
discounts	c
you	c
announced	c
in	c
the	c
advertisement	c
,	c
and	c
the	c
man	c
who	c
was	c
selling	c
the	c
tickets	c
said	c
that	c
they	c
did	c
n't	c
exist	c
.	c

Moreover	c
,	c
the	c
show	c
was	c
delayed	c
forty	c
-	c
five	c
minutes	c
and	c
the	c
worst	c
of	c
all	c
was	c
that	c
Danny	c
Brook	c
had	c
been	c
replaced	c
by	c
another	c
actor	c
.	c

On	i
the	i
other	i
hand	i
,	c
the	c
theatre	c
restaurant	c
was	c
closed	c
because	i
unknown	c
reasons	c
.	c

You	c
promised	c
a	c
perfect	c
evening	c
but	c
it	c
became	c
a	c
big	c
disastrous	i
!	c

I	c
would	c
like	c
some	c
kind	c
of	c
explanation	c
and	c
receive	i
my	c
money	c
back	c
.	c

If	c
you	c
do	c
n't	c
agree	c
,	c
I	c
will	c
act	c
consequently	NA
.	c

I	c
look	c
forward	c
to	c
hearing	c
from	c
you	c
.	c

Yours	c
faithfully	c
,	c

Unfortunately	c
,	c
Pat	c
was	c
n't	c
very	c
good	c
at	c
keeping	c
secrets	c
.	c

Last	c
Wednesday	c
Carole	c
received	c
a	c
letter	c
.	c

The	c
stamp	c
was	c
from	c
a	c
foreign	c
country	c
and	c
the	c
address	c
was	c
written	c
in	c
Capital	c
Letters	c
.	c

She	c
did	c
n't	c
recognize	c
the	c
writing	c
.	c

She	c
began	c
to	c
read	c
\"	c
Dear	c
Carolin	c
..	c

There	c
was	c
only	c
a	i
person	c
who	c
used	c
to	c
call	c
her	c
by	c
this	c
name	c
.	c

It	c
brought	c
a	c
lot	c
of	c
memories	c
back	c
to	c
her	c
.	c

It	c
was	c
long	c
time	c
ago	c
,	c
when	c
she	c
was	c
fourteen	c
and	c
Paul	c
sixteen	c
.	c

He	c
was	c
her	c
first	c
love	c
and	c
also	c
the	c
first	c
who	c
kissed	c
her	c
.	c

Paul	c
had	c
to	c
move	c
to	c
Mexico	c
because	c
of	c
his	c
father	c
's	c
work	c
.	c

When	c
they	c
were	c
saying	c
goodbye	c
Paul	c
\"	c
I	c
will	c
be	c
the	c
last	c
person	c
who	c
will	c
kiss	c
you	c
\"	c
.	c
