In	-	-
einem	R:DET:FORM	einer
vollkommenen	-	-
Welt	-	-
würde	R:AUX	wäre
es	-	-
sein	R:OTHER	so
,	-	-
dass	-	-
die	-	-
finanzielle	-	-
Entlohnung	-	-
eines	-	-
Menschen	-	-
dem	-	-
Beitrag	-	-
entspricht	-	-
,	-	-
den	-	-
er	-	-
/	R:OTHER	bzw.
sie	-	-
für	-	-
die	-	-
Gesellschaft	-	-
geleistet	-	-
hat	-	-
.	-	-
		
Dennoch	-	-
ist	-	-
das	-	-
sowohl	-	-
unmöglich	-	-
als	-	-
auch	-	-
unrealistisch	-	-
,	-	-
weil	-	-
keine	-	-
Gesellschaft	-	-
den	-	-
relativen	-	-
Wert	-	-
jedes	-	-
Berufs	-	-
richtig	-	-
entscheiden	-	-
könnte	-	-
.	-	-
		
Auf	-	-
dem	R:DET:FORM	den
ersten	-	-
Blick	-	-
sollte	-	-
man	-	-
glauben	-	-
,	-	-
dass	-	-
die	-	-
Behauptung	-	-
dieses	-	-
Themas	-	-
selbstverständlich	-	-
ist	-	-
.	-	-
		
Die	-	-
Leute	-	-
,	-	-
dessen	R:DET:FORM	deren
Arbeit	-	-
wichtiger	-	-
für	-	-
die	-	-
Gesellschaft	-	-
ist	-	-
,	-	-
sollte	R:AUX:FORM	sollten
mehr	-	-
verdienen	-	-
.	-	-
		
Zum	-	-
Beispiel	-	-
spielen	-	-
Ärzte	-	-
,	-	-
Lehrer	-	-
,	U:PUNCT	
und	-	-
Bauern	-	-
unersetzliche	M:DET	eine
Rolle	-	-
in	-	-
allen	-	-
Gesellschaften	-	-
.	-	-
		
Ohne	-	-
genug	-	-
Ärzte	-	-
könnte	-	-
Große	R:ORTH	große
Bevölkerungen	R:NOUN:FORM	Bevölkerung
nicht	-	-
existieren	-	-
,	-	-
denn	-	-
zu	-	-
viel	R:DET:FORM	viele
Menschen	-	-
würden	-	-
wegen	-	-
Krankheit	-	-
als	-	-
Babys	-	-
oder	-	-
als	-	-
Kinder	-	-
sterben	-	-
.	-	-
		
Ähnlich	-	-
gäbe	-	-
es	-	-
keine	-	-
spezialisierte	R:ADJ:FORM	spezialisierten
Arbeiter	-	-
ohne	-	-
Lehrer	-	-
,	-	-
sie	-	-
auszubilden	-	-
.	-	-
		
Schließlich	-	-
müssen	-	-
alle	-	-
Gesellschaft	R:NOUN:FORM	Gesellschaften
genug	-	-
Essen	-	-
produzieren	-	-
,	-	-
oder	-	-
Hungern	-	-
würde	-	-
sie	-	-
zerstören	-	-
.	-	-
		
Nichtsdestoweniger	-	-
sind	-	-
manche	-	-
Berufe	-	-
in	-	-
unseren	R:DET:FORM	unserer
Gesellschaft	-	-
relativ	-	-
unter-	-	-
oder	-	-
überbezahlt	-	-
.	-	-
		
Lehrer	-	-
verdienen	-	-
ziemlich	-	-
wenig	-	-
im	-	-
Vergleich	-	-
zu	-	-
ihrer	-	-
Leistung	-	-
für	-	-
die	-	-
Gesellschaft	-	-
.	-	-
		
Für	-	-
Bauern	-	-
ist	-	-
das	-	-
auch	-	-
wahr	-	-
.	-	-
		
Große	-	-
Landwirtschaftskonzerne	-	-
können	-	-
enorme	-	-
Gewinne	-	-
erzeugen	-	-
,	-	-
aber	-	-
es	-	-
ist	-	-
mehr	-	-
wegen	-	-
ihres	-	-
Einflusses	-	-
als	-	-
Unternehmen	-	-
,	U:PUNCT	
und	-	-
nicht	M:VERB	liegt
weil	R:OTHER	daran , dass
sie	-	-
Nahrungshersteller	-	-
sind	-	-
.	-	-
		
Die	-	-
kleine	R:ADJ:FORM	kleinen
Einzelbauern	-	-
in	-	-
den	-	-
USA	-	-
bekommen	-	-
geringer	R:ADJ:FORM	geringere
Subventionen	-	-
von	-	-
der	-	-
Regiergung	R:SPELL	Regierung
als	-	-
die	-	-
Landwirtschaftskonzerne	-	-
.	-	-
		
In	-	-
Frankreich	-	-
und	-	-
Deutschland	-	-
könnte	-	-
es	-	-
etwas	-	-
ehrlicher	-	-
sein	-	-
,	U:PUNCT	
aber	-	-
in	R:WO	nicht in Japan
Japan	R:WO	nicht in Japan
nicht	R:WO	nicht in Japan
.	-	-
		
Vielleicht	-	-
verdienen	-	-
Ärzte	-	-
ihre	R:DET:FORM	ihr
aktuelle	R:ADJ:FORM	aktuelles
Gehalt	-	-
.	-	-
		
Leider	-	-
verdienen	-	-
Rechtsanwalt	R:NOUN:FORM	Rechtsanwälte
nicht	U:PART	
ihre	-	-
ungeheuerliche	R:ADJ:FORM	ungeheuerlichen
Honorare	-	-
von	R:ADP	aus
den	-	-
Class	R:SPELL	"Class
Action	R:OTHER	Action"-Prozessen nicht
Prozesse	R:OTHER	Action"-Prozessen nicht
.	-	-
		
Sie	-	-
bekommen	-	-
höher	R:OTHER	mehr
als	-	-
amerikanische	-	-
Profi-Basketballer	-	-
,	-	-
und	-	-
diese	-	-
Sportler	-	-
sind	-	-
sich	U:PRON	
selbst	-	-
überbezahlt	-	-
.	-	-
		
Basketballer	-	-
wie	-	-
Shaq	-	-
könnten	-	-
ein	-	-
zehtel	R:SPELL	Zehntel
ihrer	-	-
Besoldung	-	-
bekommen	-	-
,	-	-
und	-	-
sie	-	-
wären	-	-
noch	-	-
sehr	-	-
reich	-	-
.	-	-
		
Außer	-	-
finanzieller	-	-
Entlohnung	-	-
sind	-	-
Profi-Sportler	-	-
auf	-	-
jedem	R:DET:FORM	jeden
Fall	-	-
beliebt	-	-
in	-	-
der	-	-
Gesellschaft	-	-
,	-	-
und	-	-
das	-	-
überträgt	-	-
Vorzug	M:DET	einen
,	-	-
der	-	-
auch	-	-
wert	R:ADJ	wertvoll
sein	R:AUX:FORM	ist
.	-	-
		
Der	-	-
Status	-	-
quo	-	-
mit	-	-
der	-	-
Über-	-	-
und	-	-
Ünterbezahlung	R:SPELL	Unterbezahlung
ist	-	-
ein	-	-
Beispiel	-	-
,	-	-
warum	-	-
es	-	-
unmöglich	-	-
ist	-	-
,	-	-
dass	-	-
die	-	-
finanzielle	-	-
Entlohnung	-	-
eines	-	-
Menschen	-	-
dem	-	-
Beitrag	-	-
nicht	-	-
entspricht	-	-
,	-	-
den	-	-
er/sie	R:OTHER	er
für	-	-
die	-	-
Gesellschaft	-	-
geleistet	-	-
hat	-	-
.	-	-
		
In	-	-
keiner	-	-
Gesellschaft	-	-
können	-	-
die	-	-
Leute	-	-
vereinbaren	-	-
,	-	-
welche	-	-
Berufe	-	-
beitragen	U:VERB	
mehr	-	-
als	-	-
andere	-	-
Berufe	-	-
und	M:VERB	beitragen
wie	-	-
viel	-	-
davon	U:ADV	
.	-	-
		
Solche	-	-
Entscheidungen	-	-
werden	-	-
fast	-	-
aufs	-	-
Geratewohl	-	-
getroffen	-	-
,	-	-
da	-	-
eine	-	-
Menge	-	-
Einflusse	R:SPELL	Einflüsse
die	R:DET:FORM	den
Arbeitsmarkt	-	-
beeinträchtigen	-	-
.	-	-
		
Lehrer	-	-
in	-	-
den	-	-
USA	-	-
sind	-	-
stark	-	-
organisiert	-	-
in	-	-
den	-	-
Lehrergewerkschaften	-	-
.	-	-
		
Jedoch	-	-
