Jak	c
v	c
Bělorusku	c
slaví	c
Vánoce	c
?	c

Musím	c
přiznat	c
,	c
že	c
já	c
o	c
tom	c
mnoho	c
nevím	c
.	c

Nebo	c
nevím	i
nějaké	i
specifiské	i
běloruské	c
národní	c
tradice	c
,	c
protože	c
vyrostl	i
jsem	i
ve	c
městě	c
,	c
kde	c
oslává	i
Vánoc	c
neni	i
tak	c
rozšiřena	i
.	c

Ale	c
,	c
možná	c
je	c
to	c
také	c
odpověd	i
.	c

Kromě	c
toho	c
nelogického	c
kontrasta	i
v	c
hodnocení	c
Vánoc	c
ve	c
více	i
-	i
mené	i
christianském	c
Bělorusku	c
v	c
porovnání	c
s	c
více	i
-	i
mené	i
ateistickém	i
Českom	i
,	c
máme	c
ještě	c
jednu	c
zvláštnost	c
.	c

Slavime	i
(	c
přesnejí	i
neslavime	i
,	c
ale	c
nepracujeme	c
)	c
Vánoce	c
dvakrát	c
–	c
podle	c
pravoslavní	i
a	c
katolické	c
tradici	i
(	c
v	c
noc	c
s	i
24	c
.	c

prosince	c
a	c
6	c
.	c

ledna	c
)	c
.	c

A	c
zrovna	c
uprostrěd	c
te	i
doby	c
máme	c
svůj	c
hlavní	c
celoroční	c
svátek	c
–	c
Nový	c
rok	c
.	c

Pro	c
zajímavost	c
mužu	i
dodat	c
,	c
že	c
i	c
„	c
Nový	c
rok“	c
slavime	i
dvakrat	i
1	c
.	c

a	c
14	c
.	c

ledna	c
,	c
ten	c
pozdějši	i
svátek	c
jmenuje	i
se	i
„	c
Starý	c
Nový	c
rok“	c
(	c
neco	i
podobného	c
existije	i
i	c
ve	i
Srbsku	c
,	c
Černé	c
Hoře	c
,	c
Makedonsku	i
,	c
a	c
Švajcarsku	i
–	c
něm	c
.	c

Alter	c
Silvester	c
)	c
.	c

Možná	c
,	c
že	c
časová	c
blízkost	c
tech	i
dvouch	i
(	c
čili	c
čtyřech	i
)	c
svátků	c
,	c
ovlivnila	c
michání	i
a	c
přehod	i
jejich	c
tradic	c
,	c
a	c
zároven	i
i	c
pokles	c
nenovonovoročných	i
oslav	c
.	c

Vím	c
,	c
že	c
na	c
věnkově	i
ještě	c
občas	c
oslavuji	i
tzv	c
.	c

Kaljady	c
.	c

Vědci	c
řikaji	i
,	c
že	c
tato	c
tradice	c
má	c
předchristianský	c
