Nu	c
ska	c
jag	c
brätta	i
om	c
det	c
.	c

Budskapet	c
från	c
boken	c
är	c
ju	c
att	c
föräldrarna	c
i	c
vissa	c
länder	c
måste	c
förstå	c
vad	c
deras	c
barn	c
behöver	c
och	c
tvinga	c
inte	i
de	i
att	c
gör	i
nånting	c
som	c
de	c
vill	c
inte	i
göra	c
.	c

När	c
hon	c
ropar	c
pappa	i
kommer	i
allt	c
blir	i
annorlunda	c
,	i
barn	i
springer	c
för	c
att	c
gömma	c
sig	c
,	c
kamma	i
sig	c
och	c
tvätta	i
sig	c
.	c

Fängelset	c

Jag	c
vill	c
skriva	c
och	c
berätta	c
om	c
min	c
sambo	c
därför	c
att	c
han	c
är	c
en	c
person	c
som	c
jag	c
älskar	c
.	c

Där	c
finns	c
många	c
museum	c
som	c
är	c
grattis	i
så	c
turisterna	c
besöka	i
dem	c
.	c

En	c
vinter	c
hade	c
jag	c
inte	c
alls	c
en	i
vinterjacka	c
,	c
eftersom	c
hittade	i
jag	c
inte	c
en	i
som	c
jag	c
skulle	c
ha	c
velat	c
.	i

Varför	c
tog	i
människorna	i
sig	i
till	i
medverkan	i
i	c
denna	c
olagliga	c
verksamheter	i
?	c

Jag	c
känner	c
många	c
vänner	c
där	c
och	c
jag	c
har	c
några	c
släkter	i
så	c
jag	c
hoppas	c
att	c
jag	c
kan	c
visa	c
sig	i
i	c
sommaren	i
.	c

Det	c
är	c
helt	c
olampligt	i
att	c
komma	c
till	c
en	i
bröllop	c
,	c
till	c
exempel	c
,	c
i	c
en	c
vit	c
klänning	c
.	c

Jag	c
ger	c
boken	c
betyget	c
6	c
av	c
10	c
för	c
den	c
litte	i
svårt	i
.	c

Garnert	c
.	c

Jag	c
är	c
gift	c
med	c
Kim	c
.	c

Det	c
är	c
just	c
därför	c
jag	c
inte	c
tycker	c
att	c
minoritetsspråk	c
behövs	c
.	c

Den	c
misstänkta	c
erkänner	c
eller	c
förnekar	c
brott	c
.	c

Det	c
krävs	c
den	c
allvarliga	c
händelsen	c
att	c
sonen	c
försöker	c
ta	c
sitt	c
liv	c
för	c
att	c
pappan	c
ska	c
acceptera	c
sonens	c
vilja	c
och	c
förstå	c
att	c
det	c
var	c
riktig	c
kärlek	c
att	c
göra	c
det	c
,	c
trotts	i
pappans	c
egna	c
traditionella	c
arv	c
.	c

Jag	c
som	c
läsare	c
uppfattade	c
att	c
kärleken	c
visar	c
sig	c
svagt	c
i	c
familjen	c
,	c
redan	c
i	c
anslaget	c
då	c
han	c
berättar	i
om	c
att	c
morsan	c
viftade	c
tofflan	i
och	c
alla	c
blev	c
rädda	c
,	c
hela	i
vägen	c
till	c
klimax	c
tills	i
han	c
blir	c
tvingad	c
av	c
sin	c
farsa	c
att	c
gifta	c
sig	c
med	c
sin	c
kusin	c
och	c
till	c
slut	c
då	c
han	c
försöker	c
ta	c
självmord	c
.	c

När	c
är	c
man	c
tillräckligt	c
mogen	c
och	c
medveten	c
för	c
at	i
kuna	i
påverka	c
valens	i
resultat	i
?	c

Jag	c
var	c
mycket	c
ung	c
och	c
ofta	i
kunde	c
inte	c
förstå	c
vad	c
händer	i
med	c
mina	c
känslor	c
.	c

Vi	c
kan	c
köpa	c
en	c
fint	i
mätta	i
som	c
de	c
behöves	i
.	c

Vi	c
älskade	c
varandra	c
som	c
bästa	c
vänner	c
,	c
men	c
farmor	c
och	c
Anderss	c
mormor	c
trodde	i
att	c
det	c
var	c
roligt	c
att	c
tvinga	c
oss	c
att	c
krama	c
och	c
pussa	c
varandra	c
.	c

Stockholm	c
var	c
tätt	i
av	c
telefontrådar	c
och	c
det	c
var	i
uselt	i
utseende	c
men	c
snart	c
de	c
fasta	c
